region,date,demand,alloc,unmet,extra
ID,2025-02-24,1708.021430477032,1708.0,0.021430477,0.0
MY,2025-02-24,1586.3618181410282,1586.0,0.36181814,0.0
PH,2025-02-24,1612.008844147815,654.0,958.00884,0.0
SG,2025-02-24,1354.0007439561384,1354.0,0.000743956,0.0
TH,2025-02-24,1873.1066769443216,1873.0,0.10667694,0.0
VN,2025-02-24,1452.271512620957,1452.0,0.27151262,0.0
ID,2025-03-03,1713.8342412473578,1713.0,0.83424125,0.0
MY,2025-03-03,1572.3818412840012,616.0,956.38184,0.0
PH,2025-03-03,1609.1161009431742,1609.0,0.11610094,0.0
SG,2025-03-03,1362.527811456203,1362.0,0.52781146,0.0
TH,2025-03-03,1884.4642399900313,1884.0,0.46423999,0.0
VN,2025-03-03,1440.689634322936,1440.0,0.68963432,0.0
ID,2025-03-10,1713.2613421532478,1573.0,140.26134,0.0
MY,2025-03-10,1574.5936535467488,758.0,816.59365,0.0
PH,2025-03-10,1609.4259240219478,1609.0,0.42592402,0.0
SG,2025-03-10,1361.571079983612,1361.0,0.57107998,0.0
TH,2025-03-10,1882.5642852885728,1882.0,0.56428529,0.0
VN,2025-03-10,1442.244491782078,1442.0,0.24449178,0.0
ID,2025-03-17,1713.3178059510558,757.0,956.31781,0.0
MY,2025-03-17,1574.243716380495,1574.0,0.24371638,0.0
PH,2025-03-17,1609.39274086902,1609.0,0.39274087,0.0
SG,2025-03-17,1361.6784246376374,1361.0,0.67842464,0.0
TH,2025-03-17,1882.8821200083155,1882.0,0.88212001,0.0
VN,2025-03-17,1442.035753470723,1442.0,0.035753471,0.0
ID,2025-03-24,1713.3122409911953,1713.0,0.31224099,0.0
MY,2025-03-24,1574.2990809439293,1574.0,0.29908094,0.0
PH,2025-03-24,1609.39629490264,1609.0,0.3962949,0.0
SG,2025-03-24,1361.666380636705,405.0,956.66638,0.0
TH,2025-03-24,1882.8289508938117,1882.0,0.82895089,0.0
VN,2025-03-24,1442.0637764141582,1442.0,0.063776414,0.0
ID,2025-03-31,1713.3127894625957,1713.0,0.31278946,0.0
MY,2025-03-31,1574.2903215574454,1574.0,0.29032156,0.0
PH,2025-03-31,1609.3959142530073,1325.0,284.39591,0.0
SG,2025-03-31,1361.66773196584,689.0,672.66773,0.0
TH,2025-03-31,1882.8378453114492,1882.0,0.83784531,0.0
VN,2025-03-31,1442.0600143574773,1442.0,0.060014357,0.0
ID,2025-04-07,1713.3127354063429,1713.0,0.31273541,0.0
MY,2025-04-07,1574.2917074051215,1574.0,0.29170741,0.0
PH,2025-04-07,1609.3959550219358,1609.0,0.39595502,0.0
SG,2025-04-07,1361.6675803475828,1361.0,0.66758035,0.0
TH,2025-04-07,1882.836357405061,1882.0,0.8363574,0.0
VN,2025-04-07,1442.060519410435,486.0,956.06052,0.0
ID,2025-04-14,1713.3127407340198,757.0,956.31274,0.0
MY,2025-04-14,1574.2914881461832,1574.0,0.29148815,0.0
PH,2025-04-14,1609.3959506554386,1609.0,0.39595065,0.0
SG,2025-04-14,1361.6675973590534,1361.0,0.66759736,0.0
TH,2025-04-14,1882.836606310106,1882.0,0.83660631,0.0
VN,2025-04-14,1442.0604516074986,1442.0,0.060451607,0.0
