region,date,yhat
ID,2025-02-24,1708.021430477032
ID,2025-03-03,1713.8342412473578
ID,2025-03-10,1713.2613421532478
ID,2025-03-17,1713.3178059510558
ID,2025-03-24,1713.3122409911953
ID,2025-03-31,1713.3127894625957
ID,2025-04-07,1713.3127354063429
ID,2025-04-14,1713.3127407340198
MY,2025-02-24,1586.3618181410282
MY,2025-03-03,1572.3818412840012
MY,2025-03-10,1574.5936535467488
MY,2025-03-17,1574.243716380495
MY,2025-03-24,1574.2990809439293
MY,2025-03-31,1574.2903215574454
MY,2025-04-07,1574.2917074051215
MY,2025-04-14,1574.2914881461832
PH,2025-02-24,1612.0088441478147
PH,2025-03-03,1609.1161009431742
PH,2025-03-10,1609.4259240219478
PH,2025-03-17,1609.39274086902
PH,2025-03-24,1609.39629490264
PH,2025-03-31,1609.3959142530073
PH,2025-04-07,1609.3959550219358
PH,2025-04-14,1609.3959506554386
SG,2025-02-24,1354.0007439561384
SG,2025-03-03,1362.527811456203
SG,2025-03-10,1361.571079983612
SG,2025-03-17,1361.6784246376374
SG,2025-03-24,1361.666380636705
SG,2025-03-31,1361.66773196584
SG,2025-04-07,1361.6675803475828
SG,2025-04-14,1361.6675973590534
TH,2025-02-24,1873.1066769443214
TH,2025-03-03,1884.4642399900313
TH,2025-03-10,1882.5642852885728
TH,2025-03-17,1882.8821200083155
TH,2025-03-24,1882.8289508938117
TH,2025-03-31,1882.8378453114492
TH,2025-04-07,1882.8363574050613
TH,2025-04-14,1882.836606310106
VN,2025-02-24,1452.271512620957
VN,2025-03-03,1440.689634322936
VN,2025-03-10,1442.244491782078
VN,2025-03-17,1442.035753470723
VN,2025-03-24,1442.0637764141582
VN,2025-03-31,1442.0600143574773
VN,2025-04-07,1442.060519410435
VN,2025-04-14,1442.0604516074986
